id,mapudungun,raiz,gramatica,castellano,ejemplo,imagen,source
01122509032616253513,amuldüngun,amuldüngu–n,verbo,dar encargo a alguien,,,Augusta 1903
0112253513,amun,amu–n,verbo,"ir, andar",,,FFD 2022
01130226,anchü,anchü,sustantivo,"sol, día",,,Augusta 1903
01132201,anta,anta,partícula,partícula interrogativa,,,Augusta 1903
01132226,antü,antü,sustantivo,sol; día,<dl><dt>Kiñe antü mew dewkelay ta küdaw</dt><dd>El trabajo no se concluye en un día [CTM2:10]</dd></dl>,,FFD 2022
0113222615120109043513,antüñmalen,antüñmale–n,verbo,estar al sol,,,Augusta 1903
01132226160413,antüngen,antüngen,sustantivo,verano,,,Augusta 1903
01132612,anüm,anüm,sustantivo,mango,,,Augusta 1903
01132612,anüm,anüm,adjetivo,plantado,,,Augusta 1903
01132612352613,anümün,anüm–ün,verbo,"sentar, plantar",,,FFD 2022
01132622252704,anütuwe,anütuwe,sustantivo,asiento,,,Augusta 1903
0113262704,anüwe,anüwe,sustantivo,"trasero, posaderas, poto",<dl><dt>Kintuñmarkeeyew kuse pangküll ñi anüwe mew.</dt><dd>Cuando se allegó bien la leona (a su trasero) [KTN:24]</dd></dl>,,FFD 2022
0113263513,anün,anü–n,verbo,sentarse,,,FFD 2022
01140128,an’ay,an'ay,partícula,partícula exornativa,,,Augusta 1903
011418073513,an’pin,an'pi–n,verbo,cansarse,,,Augusta 1903
0115040922253513,añeltun,añeltu–n,verbo,amenazar,,,Augusta 1903
01150409352613,añelün,añel–ün,verbo,amenazar,,,Augusta 1903
011507092918041004,añil pel’e,añil pel'e,sustantivo,pintura negra que sale de las vegas,,,Augusta 1903
0115080413,añken,añken,adjetivo,inválido,,,Augusta 1903
011604,ange,ange,sustantivo,rostro,,,Augusta 1903
01160801,angka,angka,sustantivo,cuerpo; mitad de las cosas,,,Augusta 1903
0116080103352613,angkadün,angkad–ün,verbo,"tomar, llevar en ancas",,,Augusta 1903
01160801082613253513,angkakünun,angkakünu–n,verbo,dejar medio hecho,,,Augusta 1903
0116082612352613,angkümün,angküm–ün,verbo,secar (algo),,,FFD 2022
0116082613,angkün,angkün,adjetivo,"seco, árido",,,Augusta 1903
011608263513,angkün,angkü–n,verbo,secarse,,,Augusta 1903
01180419,aper,aper,sustantivo,harina flor,,,Augusta 1903
01181709352613,apolün,apol–ün,verbo,llenar,,,FFD 2022
01181713,apon,apon,adjetivo,lleno,,,Augusta 1903
0118173513,apon,apo–n,verbo,llenarse,,,Augusta 1903
01182612352613,apümün,apüm–ün,verbo,"consumir, destruir, acabar con algo",,,Augusta 1903
011904,are,are,adjetivo,cálido,,,Augusta 1903
011904,are,are,sustantivo,"calor grande, fiebre",,,Augusta 1903
01190409352613,arelün,arel–ün,verbo,prestar algo a alguien,,,FFD 2022
01190412352613,aremün,arem–ün,verbo,"calentar, calentar mucho",,,FFD 2022
01190413222509043513,arentulen,arentule–n,verbo,tener calor,"<dl><dt>Epu kurewen amuletulu ruka mew, perputuy kiñe maykoño rume arentulelu wenu kiñe mayten new.</dt><dd>Un matrimonio que se iba para la casa, vio al pasar una tórtola acalorada arriba de un maitén. [CWM:27]</dd></dl>",,FFD 2022
0119041322253513,arentun,arentu–n,verbo,"tener calor, acalorarse",,,FFD 2022
0119041604092612352613,arengelümün,arengelüm–ün,verbo,prestar algo,,,Augusta 1903
01190416043513,arengen,arenge–n,verbo,ser caluroso,,,FFD 2022
01190422253513,aretun,aretu–n,verbo,"conseguir, pedir o tomar prestado",,,FFD 2022
0119043513,aren,are–n,verbo,tener calor,,,FFD 2022
0119080413,arken,arken,sustantivo,bajamar,,,Augusta 1903
0119122519352613,armurün,armur–ün,verbo,titubear (ej. cuando dos personas van a tomar un objeto),,,FFD 2022
01191705352613,arofün,arof–ün,verbo,transpirar,,,FFD 2022
012116040909253513,ashngellun,ashngellu–n,verbo,jugar con juguete,,,Augusta 1903
01240406,atreg,atreg,adjetivo,muy frío,,,Augusta 1903
012426242628,atrütrüy,atrütrüy,interjección,interjección de dolor,,,Augusta 1903
0127012704,awawe,awawe,sustantivo,violeta,,,FFD 2022
012704,awe,awe,adverbio,prontamente,,,Augusta 1903
01270712352613,awimün,awim–ün,verbo,calentar (aseite),,,FFD 2022
